name,latitude_deg,longitude_deg,iso_country
Owen Sound / Billy Bishop Regional Airport,44.5903015137,-80.8375015259,Canada
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,Canada
Prince Albert Glass Field,53.2141990662,-105.672996521,Canada
Port Hawkesbury Airport,45.6567001343,-61.3680992126,Canada
Peace River Airport,56.226898,-117.446999,Canada
Portage-la-Prairie / Southport Airport,49.903099,-98.273817,Canada
Pitt Meadows Airport,49.216099,-122.709999,Canada
Pickle Lake Airport,51.4463996887207,-90.21420288085938,Canada
Port-Menier Airport,49.836399,-64.288597,Canada
Peterborough Municipal Airport,44.23,-78.363297,Canada
Prince Rupert Airport,54.2860984802,-130.445007324,Canada
Powell River Airport,49.83420181274414,-124.5,Canada
Puvirnituq Airport,60.050598,-77.286903,Canada
Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,Canada
Burns Lake Airport,54.3764,-125.950996,Canada
Muskoka Airport,44.975376,-79.306546,Canada
Quebec Jean Lesage International Airport,46.7911,-71.393303,Canada
The Pas Airport,53.97140121459961,-101.09100341796876,Canada
Red Deer Regional Airport,52.182201,-113.893997,Canada
Windsor Airport,42.27560043334961,-82.95559692382812,Canada
Watson Lake Airport,60.116839,-128.821993,Canada
Yarmouth Airport,43.82690048217773,-66.08809661865234,Canada
Kenora Airport,49.78829956054688,-94.36309814453124,Canada
Lethbridge County Airport,49.6302986145,-112.800003052,Canada
Greater Moncton Roméo LeBlanc International Airport,46.112202,-64.678596,Canada
Nakina Airport,50.18280029296875,-86.69640350341797,Canada
Comox Valley Airport / CFB Comox,49.7108,-124.887001,Canada
Regina International Airport,50.43190002441406,-104.66600036621094,Canada
St Thomas Municipal Airport,42.77000045776367,-81.11080169677734,Canada
Thunder Bay Airport,48.37189865112305,-89.32389831542969,Canada
Grande Prairie Airport,55.1796989441,-118.885002136,Canada
Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,Canada
North Battleford Airport,52.769409,-108.243742,Canada
Gander International Airport / CFB Gander,48.936258,-54.567719,Canada
